Publication Year,Title,Keywords,Stakeholder,Country
2020,An Evaluation of an Adaptive Learning System Based on Multimodal Affect Recognition for Learners with Intellectual Disabilities,,student,UK
2020,ITaCaS: a serious game and an expert system to support the teaching of sexual-health and hygiene for youth with intellectual disability,,student,Ecuador
2024,Sahayak: Affordable AI enabled Assistive Technology for Intellectually Disabled,"Augmented Reality, Intellectual Disability",student,India
2023,Effectiveness of Deep Learning Technologies to Assist Educational Inclusion for Children with Down Syndrome,"Down Syndrome, Inclusion, CNN, LSTM, YOLOV8, MediaPipe",student,Sri Lanka
2025,An Adaptive E-Learning Platform for Individuals with Down Syndrome,"Convolutional Neural Network, Down Syndrome, E-Learning, Learning Disabilities, Long Short-Term Memory, Machine Learning, VARK Theory",student,Sri Lanka
2018,"An educational support tool based on robotic assistants, mobile apps, and expert systems for children with Down syndrome","Down syndrome, Robotic assistant, Rule-based expert system, Mobile apps",student,Ecuador
2020,Assistive Learning Platform for Children with Down Syndrome,"Down syndrome, assistive technology, motor skills, scaling tools",student,Sri Lanka
