Publication Year,Title,keywords,Stakeholder,Country
2024,An Unsupervised Learning and EDA Approach for Specialized High School Admissions,"Exploratory data analysis, Unsupervised learning, Demographic composition, Specialized high schools",government,Indonesia
2024,Recommender System for University Degree Selection: A Socioeconomic and Standardised Test Data Approach,"recommendation system, learning analytics, machine learning",student,Colombia
2025,OpenLearnHub: An AI-Driven Online Platform for Equitable Access to Educational Resources with Integrated NLP and Speech Recognition for Enhanced Learning Assistance,"Voice-Based Search, Natural Language Processing (NLP), Chatbot, MongoDB Database, Study Materials, Doubt Clarification Module",student,India
2025,Clustering Students Based on Academic Performance and Social Factors: An Unsupervised Learning Approach to Identify Student Patterns,"Academic Performance, Educational Interventions, K-Means clustering, Social Factors, Student Grouping",government,Indonesia
2023,Extending the Relative Approach toward Teaching Effectiveness for Studying and Predicting Educational Equity Gaps,"teaching effectiveness modeling and predication involving equity gaps, applied machine learning, equity gaps in COVID-19",government,USA
2025,Research on Educational Equity Evaluation and Optimization Strategy Based on Computer Algorithm,"computer algorithm, educational equity evaluation, optimization strategy, evaluation model",government,Australia
2024,Adaptive Interventions Reducing Social Identity Threat to Increase Equity in Higher Distance Education: A Use Case and Ethical Considerations on Algorithmic Fairness,"Algorithmic fairness, higher education, student diversity, social identity threat, non-traditional students",government,Germany
