Publication Year,Title,Keywords,Stakeholder,Country
2025,DEVELOPMENT OF A HYBRID CNN-RNN MODEL FOR ENHANCED RECOGNITION OF DYNAMIC GESTURES IN KAZAKH SIGN LANGUAGE,"dynamic gesture recognition, hybrid neural network, Kazakh Sign Language, facial expressions",student,Kazakhstan
2022,Intelligent Learning Systems for Inclusive Education in Ghana: Towards an Effective Engagement with Hard of Hearing Students,"Inclusive education, Deaf/Hard of Hearing, Sign Language, E-learning system, Text-to-speech, Transcription, Translation",student,Ghana
2018,Developing a Prototype to Translate Text and Speech to Pakistan Sign Language with Bilingual Subtitles: A Framework,"sign language, Pakistan Sign Language, deaf, hard of hearing, information and communication technology",student,Pakistan
2025,Customizing Generated Signs and Voices of AI Avatars: Deaf-Centric Mixed-Reality Design for Deaf-Hearing Communication,"American Sign Language, Interpreter, Facial Expressions, Multi-Modality, Voice Generation, Human-centered computing, Computer supported cooperative work,  Accessibility technologies, User centered design, Mixed / augmented reality, Social and professional topics, People with disabilities",student,USA
2025,Inclusive Emotion Technologies: Addressing the Needs of d/Deaf and Hard of Hearing Learners in Video-Based Learning,"ocial and professional topics,  People with disabilities, Human-centered computing, Empirical studies in accessibility,  Accessibility technologies, Collaborative and social computing, Applied computing, Distance learning, d/Deaf and Hard-of-Hearing, Automatic Emotion Recognition, Selfregulated learning, Video-Based Learning",student,USA
2021,The FATE Landscape of Sign Language AI Datasets: An Interdisciplinary Perspective,"General and reference, General literature, Reference works, Applied computing, Law, social and behavioral sciences, Enterprise computing, Sign language, dataset, artificial intelligence (AI), machine learning (ML), fairness, accountability, transparency, and ethics (FATE)",student,USA
2023,Synergistic integration between internet of things and augmented reality technologies for deaf persons in e-learning platform,"Augmented reality, Communication,  Deaf learners, E-learning, Emerging technology, Internet of things",student,Saudi Arabia
2024,LLM-Powered AI Tutors with Personas for d/Deaf and Hard-of-Hearing Online Learners,"Large-Language Models, d/Deaf and hard of hearing, Personas, Online Learning, Intelligent tutoring systems, Human-centered computing, Accessibility design and evaluation methods, Social and professional  topics, People with disabilities, Applied computing, E-learning",student,USA
2024,"""Real Learner Data Matters"" Exploring the Design of LLM-Powered Question Generation for Deaf and Hard of Hearing Learners","Human-centered computing, Accessibility design and evaluation methods, Social and professional  topics, People with disabilities, Applied computing, E-learning, Video-based learning, d/Deaf and hard of hearing",student,USA
2024,Towards Inclusive Video Commenting: Introducing Signmaku for the Deaf and Hard-of-Hearing,"Human-centered computing, Empirical studies in accessibility, Web-based interaction, Social and professional topics, People with disabilities, Applied computing, Interactive learning environments, DHH, Social Interactions, Danmaku, Signmaku",student,USA
2024,VirtualSign: Revolutionizing Accessibility and Inclusivity in Education Through Automatic Sign Language Translation,"Accessibility in education, Equal opportunities, Assistive  technologies, Automatic sign language translator",student,Portugal
2025,The Effectiveness Of Automatic Speech Recognition In The Capcut Application For Developing Inclusive Learning Media,"Speech-to-Text, Automatic Speech Recognition, Word Error Rate, Pengembangan Media Pembelajaran",student,Indonesia
2025,Real-time sign language recognition using parallel multi-scale CNN to enhance inclusive education for deaf and hard of hearing students,"nclusive education, Deaf students, Sign language recognition, Parallel multi-scale CNN, Deep learning",student,Morocco
