Publication Year,Title,Keywords,Stakeholder,Country
2025,Towards Inclusive Educational AI: Auditing Frontier LLMs for Cultural Biases through a Multiplexity Lens,"LLMs, Cultural Bias, Ethics, Education, Pluralistic AI, Multiplexity",student,Pakistan
2025,Overcoming Barriers: The Potential of AI Digital Textbooks in Multicultural Middle School Education,"AI digital textbooks, multicultural education, academic achievement, adaptive learning tools, middle school student",student,Republic of Korea
2020,Towards a new model for inclusive education based on virtual social inclusion and mobile openness,"Virtual Social Inclusion, Inclusive Education, MOOC, Knowledge Society",student,Spain
2025,Retrieval-Augmented LLMs for Culturally Sensitive Learning Content in Refugee Education,"Large Language Models (LLMs), Retrieval-augmented generation  (RAG), Learning conten, Refugee education",student,Uganda
