Publication Year,Title,Keywords,Stakeholder,Country
2024,An Unsupervised Learning and EDA Approach for Specialized High School Admissions,"Exploratory data analysis, Unsupervised learning, Demographic composition, Specialized high schools",government,Indonesia
2024,Adaptive Interventions Reducing Social Identity Threat to Increase Equity in Higher Distance Education: A Use Case and Ethical Considerations on Algorithmic Fairness,"Algorithmic fairness, higher education, student diversity, social identity threat, non-traditional students",government,Germany
2025,Enhancing Educational Equity: Leveraging NLP to Understand Diverse Student Perspectives in Engineering,"Natural Language Processing, Educational Analytics, Student Sentiment Analysis, Inclusive Teaching Strategies, Academic Feedback Management",government,Mexico
2025,Clustering Students Based on Academic Performance and Social Factors: An Unsupervised Learning Approach to Identify Student Patterns,"Academic Performance, Educational Interventions, K-Means clustering, Social Factors, Student Grouping",government,Indonesia
