Publication Year,Title,Keywords,Stakeholder,Country
2022,Helping Students with Motor Impairments Program via?Voice-Enabled Block-Based Programming,"Accessibility. Block-based programming, CS education, Speech recognition",student,USA
2023,Framework for Voice-controlled AI Teaching Assistant for Specially-abled,"Natural Language Processing, E-Learning Portal, Voice-Based, Specially-abled, Inclusive Society",student,India
2019,Personalized Interactive Gesture Recognition Assistive Technology,,student,Brazil
2020,Personalized Gestural Interaction Applied in a Gesture Interactive Game-based Approach for People with Disabilities,"Human computer interaction (HCI), Assistive Technology, People with disabilities, Motion capture, Augmentative and Alternative Communication, Gestural Interaction, Machine Learning, Game",student,Brazil
2025,An Inclusive Offline Learning Platform Integrating Gesture Recognition and Local AI Models,"hands-free interaction, human-centered AI, human factors in computing, gesture-based human¨Ccomputer interaction, accessible user interfaces",student,Romania
